Rank,Station ID,Station,Price per Liter (PHP),Brand Color,Geocode Query,Latitude,Longitude,Geocode Error
5,30,Petron Taft Ave Malate,117.6,#004B93,"Petron Taft Ave Malate, Manila, Metro Manila, Philippines",14.5758518,120.9882065,
9,556,Petron Juan Luna Tondo Manila,117.6,#004B93,"Petron Juan Luna Tondo Manila, Manila, Metro Manila, Philippines",14.6223546,120.9721173,
27,466,Petron Tejeron San Andres Manila,117.9,#004B93,"Petron Tejeron San Andres Manila, Manila, Metro Manila, Philippines",14.5783036,121.0097695,
29,87,Total Pedro Gil Manila,118.2,#FF0000,"Total Pedro Gil Manila, Manila, Metro Manila, Philippines",14.5802368,121.0070986,
34,1009,Petron Quirino Ave Paco Manila,118.9,#004B93,"Petron Quirino Ave Paco Manila, Manila, Metro Manila, Philippines",14.5915802,121.0014629,
48,34,Unioil Quirino Ave Pandacan,119.7,#1B3C73,"Unioil Quirino Ave Pandacan, Manila, Metro Manila, Philippines",14.5836846,121.001835,
49,468,Petron Osmeña Hwy San Andres Manila,119.9,#004B93,"Petron Osmeña Hwy San Andres Manila, Manila, Metro Manila, Philippines",14.5704519,121.0003172,
53,32,Caltex Jose Abad Santos Tondo,121.0,#E31937,"Caltex Jose Abad Santos Tondo, Manila, Metro Manila, Philippines",14.6226208,120.9779054,
56,928,Caltex Pedro Gil Paco Manila,121.0,#E31937,"Caltex Pedro Gil Paco Manila, Manila, Metro Manila, Philippines",14.5791754,121.0021908,
59,1213,Caltex MetroOil,121.0,#E31937,"Caltex MetroOil, Manila, Metro Manila, Philippines",14.6108544,120.9872154,
64,144,Seaoil Legarda Sampaloc Manila,123.6,#00A651,"Seaoil Legarda Sampaloc Manila, Manila, Metro Manila, Philippines",14.6014408,120.99387,
73,1188,Seaoil E. Rodriguez Ave,123.6,#00A651,"Seaoil E. Rodriguez Ave, Manila, Metro Manila, Philippines",14.5825654,121.0772787,
79,474,Shell Quirino Ave Paco Manila,125.45,#FFD500,"Shell Quirino Ave Paco Manila, Manila, Metro Manila, Philippines",14.5912278,121.0020353,
81,557,Shell Moriones Tondo Manila,125.45,#FFD500,"Shell Moriones Tondo Manila, Manila, Metro Manila, Philippines",14.6096977,120.9662297,
104,472,CleanFuel San Andres Manila,138.55,#00B4D8,"CleanFuel San Andres Manila, Manila, Metro Manila, Philippines",14.5801947,121.0069108,
