City,Rank,Station ID,Station,Price per Liter (PHP),Brand Color
Quezon City,1,503,Seaoil Quezon Ave,110.0,#00A651
Quezon City,2,799,Petron Commonwealth Ave,115.4,#004B93
Manila,1,33,Phoenix Dimasalang Sta Cruz,116.5,#FF6600
Manila,2,728,Phoenix Moriones Tondo Manila,116.5,#FF6600
Quezon City,3,24,Phoenix Timog Ave South Triangle,116.5,#FF6600
Quezon City,4,25,Phoenix G. Araneta / Baloy Santol,116.5,#FF6600
Quezon City,5,566,Phoenix Gen. Luis St,116.5,#FF6600
Quezon City,6,578,Phoenix EDSA Balintawak,116.5,#FF6600
Quezon City,7,597,Phoenix Visayas Ave,116.5,#FF6600
Quezon City,8,632,Phoenix Quezon Ave,116.5,#FF6600
Quezon City,9,664,Phoenix Mindanao Ave,116.5,#FF6600
Quezon City,11,696,Phoenix Congressional Ave,116.5,#FF6600
Quezon City,12,708,Phoenix Regalado Ave,116.5,#FF6600
Quezon City,15,656,Caltex Commonwealth Ave Fairview,117.15,#E31937
Quezon City,16,940,Petron Roosevelt Ave,117.2,#004B93
Manila,5,30,Petron Taft Ave Malate,117.6,#004B93
Manila,6,110,Petron Dela Fuente / G. Tuazon Sampaloc,117.6,#004B93
Manila,7,111,Petron Rizal Ave / Malabon St Sta Cruz,117.6,#004B93
Manila,8,112,Petron Juan Luna / Honorio Lopez Tondo,117.6,#004B93
Manila,9,556,Petron Juan Luna Tondo Manila,117.6,#004B93
Manila,11,703,Petron Moriones Tondo Manila,117.6,#004B93
Manila,12,900,Petron Lacson Ave Sampaloc Manila,117.6,#004B93
Manila,13,901,Petron Manga Ave Sampaloc Manila,117.6,#004B93
Manila,14,963,Petron V. Mapa Sta. Mesa Manila,117.6,#004B93
Manila,17,1115,Petron Lacson Ave Tondo Manila,117.6,#004B93
Manila,18,1122,Petron Paco Pandacan Manila,117.6,#004B93
Manila,19,1125,Petron Magsaysay Blvd Sta. Mesa Manila,117.6,#004B93
Quezon City,17,17,Petron EDSA-Main Ave Crame,117.6,#004B93
Quezon City,18,18,Petron Commonwealth UP Campus,117.6,#004B93
Quezon City,19,105,Petron Timog / Tomas Morato,117.6,#004B93
Quezon City,20,106,Petron V. Luna / Masikap Pinyahan,117.6,#004B93
Quezon City,21,107,Petron Xavierville / Katipunan,117.6,#004B93
Quezon City,22,108,Petron Mindanao Ave Bahay Toro,117.6,#004B93
Quezon City,23,489,Petron Roosevelt Ave,117.6,#004B93
Quezon City,24,520,Petron Mindanao Ave,117.6,#004B93
Quezon City,25,521,Petron Tandang Sora Ave,117.6,#004B93
Quezon City,27,540,Petron Commonwealth Ave Batasan,117.6,#004B93
Quezon City,28,591,Petron E. Rodriguez Ave,117.6,#004B93
Quezon City,29,592,Petron EDSA,117.6,#004B93
Quezon City,31,599,Petron EDSA Cubao,117.6,#004B93
Quezon City,33,638,Petron Visayas Ave,117.6,#004B93
Quezon City,34,651,Petron Congressional Ave,117.6,#004B93
Quezon City,35,661,Petron Quezon Ave,117.6,#004B93
Quezon City,36,692,Petron Quirino Hwy,117.6,#004B93
Quezon City,43,873,Petron Katipunan Ave,117.6,#004B93
Quezon City,44,874,Petron Commonwealth Ave,117.6,#004B93
Quezon City,48,889,Petron Aurora Blvd,117.6,#004B93
Quezon City,53,1123,Petron Marcos Hwy,117.6,#004B93
Quezon City,55,689,Petron Quezon Ave,117.8,#004B93
Manila,27,466,Petron Tejeron San Andres Manila,117.9,#004B93
Manila,29,87,Total Pedro Gil Manila,118.2,#FF0000
Manila,30,479,TotalEnergies San Andres Manila,118.2,#FF0000
Manila,31,824,TotalEnergies Espana Blvd Sampaloc Manila,118.2,#FF0000
Manila,32,880,TotalEnergies Pedro Gil Paco Manila,118.2,#FF0000
Manila,33,983,TotalEnergies Magsaysay Blvd Sta. Mesa Manila,118.2,#FF0000
Quezon City,56,89,Total EDSA Balintawak,118.2,#FF0000
Quezon City,57,582,Total EDSA,118.2,#FF0000
Quezon City,58,654,Total Regalado Ave,118.2,#FF0000
Quezon City,59,677,Total Aurora Blvd,118.2,#FF0000
Quezon City,60,691,Total Commonwealth Ave Batasan,118.2,#FF0000
Quezon City,61,859,Total Commonwealth Ave,118.2,#FF0000
Quezon City,62,971,Petron Regalado Ave,118.2,#004B93
Quezon City,64,1133,Total E. Rodriguez Ave,118.2,#FF0000
Quezon City,65,884,Petron Katipunan Ave,118.3,#004B93
Quezon City,66,586,Petron EDSA Balintawak,118.4,#004B93
Manila,34,1009,Petron Quirino Ave Paco Manila,118.9,#004B93
Quezon City,67,539,Unioil Aurora Blvd,118.9,#1B3C73
Quezon City,68,614,Petron Regalado Ave,118.9,#004B93
Quezon City,69,621,Petron Commonwealth Ave Fairview,118.9,#004B93
Quezon City,71,753,Unioil Dahlia Ave Fairview,118.9,#1B3C73
Quezon City,72,797,Unioil E. Rodriguez Ave,118.9,#1B3C73
Quezon City,73,847,Petron E. Rodriguez Ave,118.9,#004B93
Manila,35,29,Shell Quirino Ave / Jorge Paco,119.0,#FFD500
Manila,36,909,Shell Lacson Ave Espana Sampaloc Manila,119.0,#FFD500
Manila,37,1171,Petron Pedro Gil Paco Manila,119.0,#004B93
Quezon City,74,14,Shell Quezon Ave / Sct Albano,119.0,#FFD500
Quezon City,75,15,Shell Mindanao Ave Bahay Toro,119.0,#FFD500
Quezon City,76,16,Shell Katipunan Blueridge,119.0,#FFD500
Quezon City,77,498,Shell Mindanao Ave,119.0,#FFD500
Quezon City,78,522,Shell Tandang Sora Ave,119.0,#FFD500
Quezon City,79,524,Petron Congressional Ave,119.0,#004B93
Quezon City,80,623,Shell Commonwealth Ave Batasan,119.0,#FFD500
Quezon City,81,645,Shell Commonwealth Ave Fairview,119.0,#FFD500
Quezon City,83,690,Shell Quezon Ave,119.0,#FFD500
Manila,38,537,Petron Radial Rd 10 Tondo Manila,119.1,#004B93
Quezon City,84,104,Petron Katipunan / Mangyan Loyola Hts,119.2,#004B93
Quezon City,85,526,Petron Quezon Ave,119.2,#004B93
Quezon City,86,567,Petron Aurora Blvd,119.3,#004B93
Quezon City,90,698,Petron Quezon Ave,119.4,#004B93
Manila,40,109,Petron UN Ave / Romualdez Paco,119.6,#004B93
Manila,41,455,Unioil Quirino Ave San Andres Manila,119.6,#1B3C73
Manila,42,913,Unioil Espana Blvd Sampaloc Manila,119.6,#1B3C73
Quezon City,91,515,Unioil Mindanao Ave,119.6,#1B3C73
Quezon City,92,587,Unioil Congressional Ave,119.6,#1B3C73
Quezon City,93,595,Unioil EDSA,119.6,#1B3C73
Quezon City,94,615,Unioil Regalado Ave,119.6,#1B3C73
