Rank,Station ID,Station,Price per Liter (PHP),Brand Color
1,503,Seaoil Quezon Ave,110.0,#00A651
2,799,Petron Commonwealth Ave,115.4,#004B93
3,24,Phoenix Timog Ave South Triangle,116.5,#FF6600
4,25,Phoenix G. Araneta / Baloy Santol,116.5,#FF6600
5,566,Phoenix Gen. Luis St,116.5,#FF6600
6,578,Phoenix EDSA Balintawak,116.5,#FF6600
7,597,Phoenix Visayas Ave,116.5,#FF6600
8,632,Phoenix Quezon Ave,116.5,#FF6600
9,664,Phoenix Mindanao Ave,116.5,#FF6600
10,674,Phoenix Mindanao Ave,116.5,#FF6600
11,696,Phoenix Congressional Ave,116.5,#FF6600
12,708,Phoenix Regalado Ave,116.5,#FF6600
13,747,Phoenix Visayas Ave,116.5,#FF6600
14,960,Phoenix Regalado Ave,116.5,#FF6600
15,656,Caltex Commonwealth Ave Fairview,117.15,#E31937
16,940,Petron Roosevelt Ave,117.2,#004B93
17,17,Petron EDSA-Main Ave Crame,117.6,#004B93
18,18,Petron Commonwealth UP Campus,117.6,#004B93
19,105,Petron Timog / Tomas Morato,117.6,#004B93
20,106,Petron V. Luna / Masikap Pinyahan,117.6,#004B93
21,107,Petron Xavierville / Katipunan,117.6,#004B93
22,108,Petron Mindanao Ave Bahay Toro,117.6,#004B93
23,489,Petron Roosevelt Ave,117.6,#004B93
24,520,Petron Mindanao Ave,117.6,#004B93
25,521,Petron Tandang Sora Ave,117.6,#004B93
26,525,Petron Mindanao Ave,117.6,#004B93
27,540,Petron Commonwealth Ave Batasan,117.6,#004B93
28,591,Petron E. Rodriguez Ave,117.6,#004B93
29,592,Petron EDSA,117.6,#004B93
30,593,Petron EDSA,117.6,#004B93
31,599,Petron EDSA Cubao,117.6,#004B93
32,606,Petron Commonwealth Ave Batasan,117.6,#004B93
33,638,Petron Visayas Ave,117.6,#004B93
34,651,Petron Congressional Ave,117.6,#004B93
35,661,Petron Quezon Ave,117.6,#004B93
36,692,Petron Quirino Hwy,117.6,#004B93
37,749,Petron EDSA,117.6,#004B93
38,818,Petron Roosevelt Ave,117.6,#004B93
39,839,Petron Roosevelt Ave,117.6,#004B93
40,841,Petron Roosevelt Ave,117.6,#004B93
